company_id,year,market_cap_crore,net_profit,sales,eps,net_profit_margin_pct,return_on_equity_pct,debt_to_equity,broad_sector,sub_sector,index_weight_pct
KOTAKBANK,2024-03,430223.52,18213,56237,92.0,32.39,14.01,4.0037,Financials,Private Banks,3.47
LICI,2024-03,183583.67,40916,845966,66.0,4.84,49.45,0.0,Financials,Life Insurance,2.18
LODHA,2024-03,1209919.99,1554,10316,16.0,15.06,8.9,0.4407,Real Estate,Real Estate,1.59
LT,2024-03,1124597.5,15547,221113,95.0,7.03,77.66999999999999,0.1035,Industrials,Engineering & Construction,3.03
LTIM,2024-03,1347046.9,4585,35517,155.0,12.91,22.9,0.1035,Information Technology,IT Services,2.64
M&M,2024-03,4173085.48,12270,139078,91.0,8.82,18.54,1.6414,Consumer Discretionary,Automobiles,3.95
MARUTI,2024-03,1503863.63,13488,141858,429.0,9.51,15.75,0.0014,Consumer Discretionary,Automobiles,1.36
MOTHERSON,2024-03,146151.16,3020,98692,4.0,3.06,11.55,0.7617,Consumer Discretionary,Auto Ancillaries,3.39
NAUKRI,2024-03,563824.44,595,2536,44.0,23.46,1.97,0.0081,Communication Services,Internet & Platforms,4.44
NESTLEIND,2024-03,1677775.19,3933,24394,41.0,16.12,117.75,0.1033,Consumer Staples,Food Products,0.94
NHPC,2024-03,1740404.25,4028,9632,4.0,41.82,10.41,0.8413,Energy,Power & Utilities,0.33
NTPC,2024-03,907823.11,21332,178501,21.0,11.95,13.27,1.4755,Energy,Power & Utilities,4.04
ONGC,2024-03,390111.05,57101,591396,39.0,9.66,16.94,0.4544,Energy,Oil & Gas Exploration,4.49
PFC,2024-03,2011885.81,26461,91508,60.0,28.92,26.16,8.5219,Financials,Speciality Finance,2.15
PIDILITIND,2024-03,162274.18,1747,12383,34.0,14.11,20.78,0.0454,Materials,Specialty Chemicals,2.15
PNB,2024-03,1825925.6,9157,109065,8.0,8.4,61.31999999999999,3.6843,Financials,Public Sector Banks,3.82
POWERGRID,2024-03,372584.24,15573,45843,17.0,33.97,17.87,1.4173,Energy,Power Transmission,4.12
RECLTD,2024-03,291917.42,14145,47517,54.0,29.77,20.4,6.4249,Financials,Speciality Finance,1.78
RELIANCE,2024-03,432472.71,79020,899041,51.0,8.790000000000001,9.959999999999999,0.5785,Energy,Conglomerates,4.24
SBILIFE,2024-03,886097.71,1894,131988,19.0,1.43,12.7,0.0,Financials,Life Insurance,3.16
SBIN,2024-03,2400436.05,69543,439189,75.0,,,,Financials,Public Sector Banks,3.6
SHREECEM,2024-03,3154358.33,1733,20521,480.0,8.450000000000001,8.37,0.08,Materials,Cement,2.86
SHRIRAMFIN,2024-03,868933.47,7399,36388,39.0,20.33,15.12,3.994,Financials,Consumer Finance,1.15
SIEMENS,2024-03,1191331.95,2718,22240,76.0,12.22,17.7,0.0182,Industrials,Capital Goods,0.99
SUNPHARMA,2024-03,1339586.09,9610,48497,40.0,19.82,15.09,0.0514,Healthcare,Pharmaceuticals,0.3
TATACONSUM,2024-03,350543.35,1215,15206,12.0,7.99,7.57,0.2165,Consumer Staples,Food & Beverages,0.33
TATAMOTORS,2024-03,1504106.64,31807,437928,94.0,7.26,37.46,1.2631,Consumer Discretionary,Automobiles,0.91
TATAPOWER,2024-03,1647269.48,4280,61449,12.0,6.97,13.23,1.6593,Energy,Power & Utilities,4.19
TATASTEEL,2024-03,369110.65,-4910,229171,-4.0,-2.14,-5.33,0.9462,Materials,Steel,1.01
TCS,2024-03,461188.15,46099,240893,127.0,19.14,50.94,0.0886,Information Technology,IT Services,1.1
TECHM,2024-03,3021095.64,2397,51996,24.0,4.61,8.99,0.0951,Information Technology,IT Services,2.39
TITAN,2024-03,1793769.72,3496,51084,39.0,6.84,37.22,1.6531,Consumer Discretionary,Gems & Jewellery,2.38
TORNTPHARM,2024-03,1870170.39,1656,10728,49.0,15.44,24.15,0.5866,Healthcare,Pharmaceuticals,0.24
TRENT,2024-03,571322.04,1477,12375,42.0,11.94,36.31,0.4309,Consumer Discretionary,Retail,0.73
TVSMOTOR,2024-03,266591.41,1779,39145,36.0,4.54,26.22,3.8334,Consumer Discretionary,Two Wheelers,2.16
